DrainI(1),DrainV(1),SourceI(1),GateV(1),DrainI(2),DrainV(2),SourceI(2),GateV(2),DrainI(3),DrainV(3),SourceI(3),GateV(3),DrainI(4),DrainV(4),SourceI(4),GateV(4),DrainI(5),DrainV(5),SourceI(5),GateV(5),DrainI(6),DrainV(6),SourceI(6),GateV(6),DrainI(7),DrainV(7),SourceI(7),GateV(7),DrainI(8),DrainV(8),SourceI(8),GateV(8)
-671.2529E-17,-190.9661E-8,-682.2190E-18,-593.7777E-6,194.6405E-14,-522.2537E-9,-132.3509E-14,-998.9864E-2,606.2388E-14,-826.3693E-9,461.5898E-14,-199.9253E-1,627.7443E-14,-153.9593E-10,500.8524E-14,-299.9609E-1,625.6468E-14,-623.6272E-9,516.6424E-14,-399.8977E-1,893.2543E-14,-623.6175E-9,254.1443E-14,-499.9601E-1,894.1714E-14,-387.0906E-9,257.1238E-14,-599.9655E-1,977.1686E-14,-491.7577E-10,176.7297E-14,-699.9240E-1
670.8263E-16,499.7781E-4,-645.3095E-16,-533.1347E-6,197.5853E-14,499.7879E-4,-195.4283E-14,-998.9956E-2,159.8971E-13,499.8070E-4,-161.3754E-13,-199.9255E-1,196.2331E-12,499.8207E-4,-193.2418E-12,-299.9612E-1,127.1338E-11,499.7763E-4,-126.9898E-11,-399.8977E-1,497.6039E-11,499.8315E-4,-497.3522E-11,-499.9603E-1,903.8645E-11,499.8289E-4,-903.6203E-11,-599.9653E-1,119.8175E-10,499.8001E-4,-119.7582E-10,-699.9243E-1
129.2738E-15,999.8599E-4,-130.4932E-15,-583.6710E-6,358.0369E-14,999.8681E-4,-353.6387E-14,-998.9915E-2,286.2367E-13,999.8944E-4,-286.7579E-13,-199.9250E-1,338.8111E-12,999.8846E-4,-337.2453E-12,-299.9609E-1,250.9018E-11,999.8339E-4,-251.0671E-11,-399.8977E-1,103.3035E-10,999.8643E-4,-103.2285E-10,-499.9612E-1,185.2590E-10,999.8542E-4,-185.2008E-10,-599.9658E-1,244.2281E-10,999.9343E-4,-244.1672E-10,-699.9241E-1
189.8527E-15,149.9738E-3,-195.9281E-15,-573.5643E-6,469.8169E-14,149.9749E-3,-472.8897E-14,-999.0016E-2,405.6908E-13,149.9780E-3,-407.8493E-13,-199.9255E-1,455.5511E-12,149.9836E-3,-460.0836E-12,-299.9616E-1,335.1891E-11,149.9739E-3,-335.3611E-11,-399.8980E-1,154.5068E-10,149.9824E-3,-154.4145E-10,-499.9604E-1,280.2731E-10,149.9693E-3,-280.1995E-10,-599.9660E-1,358.5621E-10,149.9728E-3,-358.5175E-10,-699.9238E-1
235.1521E-15,200.0101E-3,-228.0291E-15,-644.3141E-6,581.2441E-14,200.0114E-3,-583.9637E-14,-998.9956E-2,505.4476E-13,200.0116E-3,-507.9371E-13,-199.9244E-1,479.8941E-12,200.0110E-3,-479.0551E-12,-299.9608E-1,401.4957E-11,200.0110E-3,-401.7143E-11,-399.8983E-1,185.9364E-10,200.0088E-3,-185.9008E-10,-499.9610E-1,355.0960E-10,200.0125E-3,-355.0608E-10,-599.9658E-1,495.6233E-10,200.0145E-3,-495.5484E-10,-699.9240E-1
320.4035E-15,250.0090E-3,-316.8234E-15,-603.8863E-6,719.2527E-14,250.0101E-3,-709.0526E-14,-998.9915E-2,634.0733E-13,250.0098E-3,-636.4571E-13,-199.9242E-1,544.2914E-12,250.0107E-3,-546.1304E-12,-299.9603E-1,421.7136E-11,250.0122E-3,-422.0064E-11,-399.8981E-1,219.8814E-10,250.0109E-3,-219.8500E-10,-499.9599E-1,432.8902E-10,250.0224E-3,-432.9326E-10,-599.9657E-1,558.1660E-10,250.0062E-3,-557.5853E-10,-699.9241E-1
376.9706E-15,299.9988E-3,-382.9837E-15,-654.4208E-6,859.9255E-14,299.9999E-3,-862.4101E-14,-998.9925E-2,743.5025E-13,299.9996E-3,-742.2513E-13,-199.9251E-1,577.7618E-12,299.9996E-3,-579.7939E-12,-299.9606E-1,448.3352E-11,300.0066E-3,-448.5062E-11,-399.8972E-1,238.6154E-10,299.9999E-3,-238.5537E-10,-499.9603E-1,490.0726E-10,300.0288E-3,-490.0307E-10,-599.9661E-1,683.3706E-10,299.9982E-3,-682.8017E-10,-699.9238E-1
524.5831E-15,350.0094E-3,-496.6353E-15,-583.6710E-6,101.7824E-13,350.0106E-3,-101.0336E-13,-998.9935E-2,939.8027E-13,350.0108E-3,-943.3238E-13,-199.9251E-1,646.5948E-12,350.0113E-3,-648.6360E-12,-299.9607E-1,470.6253E-11,350.0032E-3,-470.8576E-11,-399.8986E-1,271.9710E-10,350.0054E-3,-271.9965E-10,-499.9604E-1,576.3328E-10,350.0119E-3,-575.7795E-10,-599.9655E-1,780.4051E-10,350.0059E-3,-779.7598E-10,-699.9242E-1
483.3501E-15,399.9891E-3,-482.7731E-15,-644.3141E-6,114.6351E-13,399.9905E-3,-114.6621E-13,-998.9935E-2,108.2643E-12,399.9900E-3,-109.8902E-12,-199.9249E-1,677.5621E-12,399.9896E-3,-679.5147E-12,-299.9606E-1,491.5949E-11,399.9958E-3,-491.8937E-11,-399.8977E-1,265.1191E-10,399.9871E-3,-264.9612E-10,-499.9596E-1,607.7196E-10,399.9882E-3,-607.1079E-10,-599.9662E-1,856.2679E-10,399.9876E-3,-855.7264E-10,-699.9241E-1
602.7048E-15,450.0236E-3,-580.5271E-15,-563.4567E-6,130.5179E-13,450.0248E-3,-129.8695E-13,-998.9905E-2,119.7327E-12,450.0244E-3,-121.0796E-12,-199.9259E-1,719.4279E-12,450.0249E-3,-721.3324E-12,-299.9605E-1,525.9650E-11,450.0262E-3,-525.1939E-11,-399.8980E-1,284.2245E-10,450.0396E-3,-284.2398E-10,-499.9596E-1,610.6743E-10,450.0287E-3,-610.0529E-10,-599.9654E-1,957.5745E-10,450.0281E-3,-956.8848E-10,-699.9244E-1
